0,1,2,3,4,5,6,7,8,9
,,CSE406 4th Year B_Tech AIDS Section A CSELAB18 CSELAB5 ,Break,CSE406 4th Year B_Tech AIDS Section A CSELAB18 CSELAB5 ,CSE406 4th Year B_Tech AIDS Section A CSELAB18 CSELAB5 ,Lunch,CSE401 4th Year B_Tech AIDS Section B ,Break,CSE401 4th Year B_Tech AIDS Section B 
CSE406 4th Year B_Tech AIDS Section B CSELAB3 CSELAB7 ,CSE406 4th Year B_Tech AIDS Section B CSELAB3 CSELAB7 ,CSE406 4th Year B_Tech AIDS Section B CSELAB3 CSELAB7 ,Break,CSE401 4th Year B_Tech AIDS Section A ,,Lunch,CSE401 4th Year B_Tech AIDS Section A ,Break,
,CSE406 T 4th Year B_Tech AIDS Section B ,Break,,,,Lunch,CSE401 4th Year B_Tech AIDS Section A ,Break,
,,Break,,,,Lunch,,Break,CSE406 T 4th Year B_Tech AIDS Section A 
Proff45
,,Break,,CSE402 4th Year B_Tech AIDS Section A CSELAB19 CSELAB11 ,CSE402 4th Year B_Tech AIDS Section A CSELAB19 CSELAB11 ,Lunch,,Break,
CSE402 4th Year B_Tech AIDS Section B CSELAB12 CSELAB15 ,CSE402 4th Year B_Tech AIDS Section B CSELAB12 CSELAB15 ,Break,,,,Lunch,,Break,
,,Break,,,,Lunch,,Break,
,,Break,,,,Lunch,,Break,CSE402 T 4th Year B_Tech AIDS Section B 
CSE402 T 4th Year B_Tech AIDS Section B ,CSE402 T 4th Year B_Tech AIDS Section B ,CSE402 T 4th Year B_Tech AIDS Section A ,Break,CSE402 T 4th Year B_Tech AIDS Section A ,CSE402 T 4th Year B_Tech AIDS Section A ,Lunch,,Break,
Proff46
,,Break,,,,Lunch,CSE403 4th Year B_Tech AIDS Section A ,Break,CSE403 4th Year B_Tech AIDS Section A 
,,Break,,,CSE403 4th Year B_Tech AIDS Section B ,Lunch,,Break,
,CSE403 4th Year B_Tech AIDS Section A ,Break,,,CSE403 4th Year B_Tech AIDS Section B ,Lunch,,Break,
,,CSE403 4th Year B_Tech AIDS Section B ,Break,,,Lunch,,Break,
,,Break,,,,Lunch,,Break,
Proff47
,CSE407 4th Year B_Tech AIDS Section B CSELAB7 CSELAB8 ,CSE407 4th Year B_Tech AIDS Section B CSELAB7 CSELAB8 ,Break,CSE407 4th Year B_Tech AIDS Section B CSELAB7 CSELAB8 ,,Lunch,,Break,
,,Break,,,,Lunch,CSE404 4th Year B_Tech AIDS Section A ,Break,
,,Break,,,CSE407 T 4th Year B_Tech AIDS Section A ,Lunch,CSE407 T 4th Year B_Tech AIDS Section B ,Break,CSE404 4th Year B_Tech AIDS Section A 
,,CSE407 4th Year B_Tech AIDS Section A CSELAB3 CSELAB12 ,Break,CSE407 4th Year B_Tech AIDS Section A CSELAB3 CSELAB12 ,CSE407 4th Year B_Tech AIDS Section A CSELAB3 CSELAB12 ,Lunch,CSE404 4th Year B_Tech AIDS Section B ,Break,
,,Break,,CSE404 4th Year B_Tech AIDS Section B ,,Lunch,,Break,
Proff48
,,Break,,,,Lunch,,Break,
,PSY401 4th Year B_Tech AIDS Section A ,Break,,,,Lunch,,Break,
,,Break,,,,Lunch,,Break,PSY401 4th Year B_Tech AIDS Section B 
,PSY401 4th Year B_Tech AIDS Section A ,Break,,PSY401 4th Year B_Tech Cyber Security ,PSY401 4th Year B_Tech Cyber Security ,Lunch,,Break,
,,Break,,,,Lunch,PSY401 4th Year B_Tech AIDS Section B ,Break,
Proff49
CSE406 4th Year B_Tech IoT Section B CSELAB5 CSELAB2 ,CSE406 4th Year B_Tech IoT Section B CSELAB5 CSELAB2 ,CSE406 4th Year B_Tech IoT Section B CSELAB5 CSELAB2 ,Break,CSE406 T 4th Year B_Tech IoT Section A ,,Lunch,,Break,
,CSE411 4th Year B_Tech IoT Section B ,Break,,,,Lunch,,Break,CSE406 T 4th Year B_Tech IoT Section B 
,,Break,,,,Lunch,,Break,
CSE411 4th Year B_Tech IoT Section A ,,Break,,CSE411 4th Year B_Tech IoT Section A ,CSE411 4th Year B_Tech IoT Section A ,Lunch,,Break,CSE411 4th Year B_Tech IoT Section B 
CSE406 4th Year B_Tech IoT Section A CSELAB11 CSELAB4 ,CSE406 4th Year B_Tech IoT Section A CSELAB11 CSELAB4 ,CSE406 4th Year B_Tech IoT Section A CSELAB11 CSELAB4 ,Break,CSE411 4th Year B_Tech IoT Section B ,,Lunch,,Break,
Proff50
,,Break,,,,Lunch,CSE412 4th Year B_Tech IoT Section A ,Break,
,,Break,,CSE412 4th Year B_Tech Cyber Security ,CSE412 4th Year B_Tech IoT Section A ,Lunch,,Break,
CSE412 4th Year B_Tech IoT Section B ,,CSE412 4th Year B_Tech IoT Section B ,Break,,,Lunch,CSE412 4th Year B_Tech IoT Section A ,Break,
CSE406 4th Year B_Tech Cyber Security CSELAB2 CSELAB15 ,CSE406 4th Year B_Tech Cyber Security CSELAB2 CSELAB15 ,CSE406 4th Year B_Tech Cyber Security CSELAB2 CSELAB15 ,Break,,,Lunch,,Break,
CSE412 4th Year B_Tech IoT Section B ,,CSE406 T 4th Year B_Tech Cyber Security ,Break,,CSE412 4th Year B_Tech Cyber Security ,Lunch,CSE412 4th Year B_Tech Cyber Security ,Break,
Proff51
,,Break,,,CSE408 4th Year B_Tech IoT Section A ,Lunch,,Break,CSE410 T 4th Year B_Tech IoT Section A 
,,Break,,,CSE408 4th Year B_Tech IoT Section B ,Lunch,CSE408 4th Year B_Tech IoT Section B ,Break,
CSE410 4th Year B_Tech IoT Section A CSELAB2 CSELAB12 ,CSE410 4th Year B_Tech IoT Section A CSELAB2 CSELAB12 ,CSE410 4th Year B_Tech IoT Section A CSELAB2 CSELAB12 ,Break,,CSE408 4th Year B_Tech IoT Section B ,Lunch,,Break,
,CSE410 4th Year B_Tech IoT Section B CSELAB13 CSELAB19 ,CSE410 4th Year B_Tech IoT Section B CSELAB13 CSELAB19 ,Break,CSE410 4th Year B_Tech IoT Section B CSELAB13 CSELAB19 ,,Lunch,,Break,
,CSE410 T 4th Year B_Tech IoT Section B ,Break,,,,Lunch,CSE408 4th Year B_Tech IoT Section A ,Break,CSE408 4th Year B_Tech IoT Section A 
Proff52
,,Break,,,,Lunch,,Break,
,,Break,,,,Lunch,CSE413 4th Year B_Tech IoT Section A ,Break,
,,Break,,,,Lunch,,Break,
,,Break,,,,Lunch,,Break,CSE413 4th Year B_Tech IoT Section A 
,,CSE413 4th Year B_Tech IoT Section B ,Break,CSE413 4th Year B_Tech IoT Section A ,CSE413 4th Year B_Tech IoT Section B ,Lunch,CSE413 4th Year B_Tech IoT Section B ,Break,
Proff53
MTH401 4th Year B_Tech Cyber Security ,,Break,,MTH401 4th Year B_Tech Cyber Security ,,Lunch,,Break,
,,MTH401 4th Year B_Tech Cyber Security ,Break,,,Lunch,,Break,
,,Break,,,,Lunch,,Break,
,,Break,,,,Lunch,,Break,
,,Break,,,,Lunch,,Break,
Proff54
,,Break,,,,Lunch,,Break,
,,Break,,,,Lunch,,Break,
CSE410 4th Year B_Tech Cyber Security CSELAB5 CSELAB17 ,CSE410 4th Year B_Tech Cyber Security CSELAB5 CSELAB17 ,CSE410 4th Year B_Tech Cyber Security CSELAB5 CSELAB17 ,Break,,,Lunch,,Break,
,,Break,,,,Lunch,,Break,CSE408 4th Year B_Tech Cyber Security 
,CSE410 T 4th Year B_Tech Cyber Security ,Break,,CSE408 4th Year B_Tech Cyber Security ,,Lunch,,Break,CSE408 4th Year B_Tech Cyber Security 
Proff55
,,Break,,,,Lunch,,Break,CSE403 T 4th Year B_Tech Cyber Security 
CSE403 4th Year B_Tech Cyber Security CSELAB2 CSELAB16 ,CSE403 4th Year B_Tech Cyber Security CSELAB2 CSELAB16 ,Break,,,,Lunch,,Break,CSE403 T 4th Year B_Tech Cyber Security 
,,Break,,,,Lunch,CSE403 T 4th Year B_Tech Cyber Security ,Break,
,,Break,,,,Lunch,,Break,
,,Break,,,,Lunch,,Break,
Proff56
,,Break,,,,Lunch,CSE409 4th Year B_Tech Cyber Security ,Break,
,,Break,,,,Lunch,,Break,
,,Break,,,CSE409 4th Year B_Tech Cyber Security ,Lunch,,Break,
,,Break,,,,Lunch,,Break,
,,Break,,,,Lunch,,Break,
self_proff
,,Break,,,,,,Break,
,,Break,,,,,,Break,
,,Break,,,,,,Break,
,,Break,,,,,,Break,
,,Break,,,,,,Break,
Professor Year
Proff0,1
Proff1,1
Proff2,1
Proff3,1
Proff4,cross
Proff5,1
Proff6,1
Proff7,1
self_proff,cross
Proff8,1
Proff9,1
Proff10,1
Proff14,1
Proff11,1
Proff12,1
Proff13,1
Proff15,2
Proff16,2
Proff17,2
Proff18,2
Proff19,2
Proff20,2
Proff21,2
Proff22,2
Proff23,2
Proff24,2
Proff25,2
Proff27,2
Proff26,2
Proff28,2
Proff29,3
Proff30,3
Proff31,3
Proff32,3
Proff33,3
Proff34,3
Proff35,3
Proff36,3
Proff37,3
Proff38,3
Proff39,3
Proff40,3
Proff41,3
Proff42,3
Proff43,4
Proff44,4
Proff45,4
Proff46,4
Proff47,4
Proff48,4
Proff49,4
Proff50,4
Proff51,4
Proff52,4
Proff53,4
Proff54,4
Proff55,4
Proff56,4
